the student,der Student
the wolf,der Wolf
the xenophobe,die Xenophobie
the yacht,die Yacht
the yak,der Yak
the Yankee,der Yankee
the yen,der Yen
the yoga,das Yoga
the yucca,die Yucca
the zebra,das Zebra
the zero,die Null
the zoo,der Zoo
the beginning (the start),der Anfang
the Germany,das Deutschland
the Earth,die Erde
the question,die Frage
the story,die Geschichte
the year,das Jahr
the art,die Kunst
the Austria,das Österreich
the city,die Stadt
the day,der Tag
the science,die Wissenschaft
the word,das Wort
the neighboring country,das Nachbarland
the capital city,die Hauptstadt
the opera,die Oper
the art history,die Kunstgeschichte
the Greek,der Grieche
the Koran,der Koran
the Bible,die Bibel
the language,die Sprache
the Spirit,der Geist
the meat,das Fleisch
the birthday,der Geburtstag
the play (theater),das Theaterstück
the sentence,der Satz
the scene,die Szene
the room,das Zimmer
the study (room),das Studierzimmer
the meaning/thought/sense,der Sinn
the power,die Kraft
the act,die Tat
the work,die Arbeit
the example,das Beispiel
the blood,das Blut
the family,die Familie
the money,das Geld
the childhood,die Kindheit
the life,das Leben
the light,das Licht
the man,der Mann
the human being,der Mensch
the month,der Monat
the plant,die Pflanze
the animal,das Tier
the world,die Welt
the week,die Woche
the economy,die Wirtschaft
the value,der Wert
the length,die Länge
the mountain,der Berg
the lake,der See
the historian,der Historiker
the source,die Quelle
the environment,die Umwelt
the developmental biology,die Entwicklungsbiologie
the fugue,die Fuge
the cantata,die Kantate
the court musician,der Hofusiker
the organ (instrument),die Orgel
the church,die Kerch
the chorus singer,der Chorsänger
the music director,der Kapellmeister
the concert master,der Konzertmeister
the canto,der Kanto
the work,der Werk
to be,sein
young,jung
old,alt
healthy,gesund
ill,krank
when,wann
why,warum
what,was
what kind of,was für ein
which,welcher
who,wer
how,wie
how many,wie viele
how much,wie viel
where,wo
where to,wohin
but/however,aber
also/to,auch
famous,berühmt
German,deutsch
there,dort
a/an/one,ein
some/several,einige
large/great,groß
good,gut
the Mr./gentleman,das Herr
here,hier
yes,ja
no/not any,kein
of course/naturally,natürlich
not,nicht
Austrian,österreichisch
to say,sagen
beautiful/nice,schön
very,sehr
to go to college/university,studieren
and,und
fairly/rather,ziemlich
to lie (lay),liegen
found (establish),gründen
at the,an der
to read,lesen
willing,willig
weak,schwach
heavy/difficult/weighty,schwer
that means,das heißt
to begin,beginnen
easy/simply/simple,einfach
first,erst
to seek,suchen
for,für
to think,denken
more than,mehr als
active,aktiv
enough,genug
the president,der Präsident
the future,die Zukunft
the wall,die Mauer
the teacher,der Lehrer
to understand,verstehen
to describe,beschreiben
to explain,erklären
to go,gehen
to know,kennen
to supply/deliver,liefern
to act,handeln
to bring,bringen
to end,enden
to fall,fallen
to find,finden
to give,geben
to win,gewinnen
to hang,hängen
to help,helfen
to hear/listen,hören
to come,kommen
to cost,kosten
to land/end up/arrive,landen
to learn,lernen
to salt,salzen
to seem,scheinen
to swim,schwimmen
to send,senden
to set/put,setzen
to sing,singen
to sink,sinken
to sit,sitzen
to jump,springen
to start,starten
to stink,stinken
to stop,stoppen
to drink,trinken
to hike,wandern
to wash,waschen
to analyze,analysieren
to argue,argumentieren
to debate,debattieren
to demonstrate,demonstrieren
to document,dokumentieren
to dominate,dominieren
to evacuate,evakuieren
to evaluate,evaluieren
to photograph,fotografieren
to function,funktionieren
to inform,informieren
to invest,investieren
to combine,kombinieren
to comment,kommentieren
to compliment,komplimentieren
to complicate,komplizieren
to nominate,nominieren
to protest,protestieren
to qualify,qualifizieren
to quantify,quantifizieren
to rationalize,rationalisieren
to repair,reparieren
to rehabilitate,rehabilitieren
to train,trainieren
to answer,antworten
to open,öffnen
to rain,regnen
to be called/named,heißen
to handle/treat,behandeln
to observe,betrachten
European,europäisch
about/almost,fast
to use/employ,gebrauchen
today,heute
now,jetzt
cold,kalt
to live,leben
to do/make/cause,machen
most,meist
new,neu
to die,sterben
approximately,ungefähr
to examine/investigate,untersuchen
to insure,versichern
much,viel
many,viele
little/few,wenig
important,wichtig
e.g.,z.B.
to change/alter,verändern
to choose/select,wählen
generally/at all,überhaupt
especially,besonders
later,später
to visit,besuchen
to marry,heiraten
to write,schreiben
to become,werden
unfortunately,leider
analog,analog
bitter,bitter
conservative,konservativ
mild,mild
modern,modern
national,national
original,original
progressive,progressiv
quick,quick
real,real
so,so
still,still
transparent,transparent
warm,warm
wild,wild
the American,der Amerikaner
the silver,das Silber
sweet,süß
the equator,der Äquator
to select/choose,wählen
to compose,komponieren
